Table Migration report: 16 Oct 2025,,,,,,,,,,,,,,,,,,,,,
================================,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,Extension,NVARCHAR(30),No,No,--/--,Extension,NVARCHAR(30),No,No,No,n/a,Copy,Extension,,,,,,,,
,FaxNumber,NVARCHAR(30),No,No,--/--,FaxNumber,NVARCHAR(30),No,No,No,n/a,Copy,FaxNumber,,,,,,,,
,CellNumber,NVARCHAR(50),No,No,--/--,CellNumber,NVARCHAR(50),No,No,No,n/a,Copy,CellNumber,,,,,,,,
,EmailAddress,NVARCHAR(50),No,No,--/--,EmailAddress,NVARCHAR(50),No,No,No,n/a,Copy,EmailAddress,,,,,,,,
,AltEmailAddress,NVARCHAR(255),No,No,--/--,AltEmailAddress,NVARCHAR(255),No,No,No,n/a,Copy,AltEmailAddress,,,,,,,,
,ContractNo,NVARCHAR(50),No,No,--/--,ContractNo,NVARCHAR(50),No,No,No,n/a,Copy,ContractNo,,,,,,,,
,CustomerTypeID,INT,No,No,--/--,ContactTypeID,INT,FK (ContactTypesTbl),No,No,n/a,Rename,CustomerTypeID,,,,,,,,
,CustomerTypeOLD,NVARCHAR(30),No,No,--/--,,,,,,n/a,Drop,CustomerTypeOLD,,,,,,,,
,EquipType,INT,No,No,--/--,EquipTypeID,INT,FK (EquipTypesTbl),No,No,n/a,Copy,EquipType,,,,,,,,
,CoffeePreference,INT,No,No,--/--,ItemPrefID,INT,FK (ItemsTbl),No,No,n/a,Rename,CoffeePreference,,,,,,,,
,PriPrefQty,REAL,No,No,--/--,PriPrefQty,REAL,No,No,No,n/a,Copy,PriPrefQty,,,,,,,,
,PrefPrepTypeID,INT,No,No,--/--,PrefItemPrepTypeID,INT,FK (ItemPrepTypesTbl),No,No,n/a,Rename,PrefPrepTypeID,,,,,,,,
,PrefPackagingID,INT,No,No,--/--,PrefItemPackagingID,INT,FK (ItemPackagingTbl),No,No,n/a,Rename,PrefPackagingID,,,,,,,,
,SecondaryPreference,INT,No,No,--/--,SecondaryItemPrefID,INT,FK (ItemsTbl),No,No,n/a,Rename,SecondaryPreference,,,,,,,,
,SecPrefQty,REAL,No,No,--/--,SecPrefQty,REAL,No,No,No,n/a,Copy,SecPrefQty,,,,,,,,
,TypicallySecToo,BIT,No,No,--/--,TypicallySecToo,BIT,No,No,No,n/a,Copy,TypicallySecToo,,,,,,,,
